itinerary_id,trip_id,name,version,is_active,generated_by,total_cost,currency,total_duration_minutes,total_carbon_kg,optimizer_weights,status,created_at,updated_at,day_number,activity_title,description,time_slot
itn_31f184e1,trp_31e8bc24,Kolkata plan v1,1,1,user,23250.00,INR,1440,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-04T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Kolkata Lakeside Promenade Sunset & Classical Sitar,"In Kolkata: Unwind as dusk falls with soft breeze, shimmering reflections, and ambient acoustic music.",evening
itn_ee374fd7,trp_9656ff69,Ooty plan v1,1,1,optimizer,16700.00,INR,840,12.5,,active,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Ooty Botanical Gardens & Heritage Tea Stroll,In Ooty: Gentle morning stroll under ancient canopy trees enjoying freshly brewed estate single-origin teas.,morning
itn_9f802024,trp_358447d8,Tirupati plan v1,1,1,ai_planner,8900.00,INR,510,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-25T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Tirupati Ayurvedic Herbal Therapy & Botanical Walk,In Tirupati: Learn about restorative medicinal herbs followed by traditional warm oil relaxation rituals.,afternoon
itn_9e7e0841,trp_79c91f6b,Guwahati plan v1,1,1,user,13550.00,INR,690,7.7,,active,2026-06-02T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Guwahati Tranquil Waterfront Sunset & Sound Bath,In Guwahati: Soothing therapeutic singing bowls and herbal teas overlooking shimmering evening waters.,evening
itn_b9380694,trp_4a195a07,Alleppey plan v1,1,1,ai_planner,1150.00,INR,765,6.0,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-02T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Alleppey Dawn Meditation & Pranayama in Garden Pavilions,In Alleppey: Begin the day revitalized with guided breathwork and gentle yoga in a peaceful courtyard.,morning
itn_703f4a2b,trp_27260494,Mumbai plan v1,1,1,user,15650.00,INR,1170,12.5,,active,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Chhatrapati Shivaji Maharaj Vastu Museum,"Indo-Saracenic museum housing miniature paintings, weaponry, and world art.",afternoon
itn_912aebbe,trp_0ea3db93,Manali plan v1,1,1,user,23200.00,INR,1275,11.3,,active,2026-04-24T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Manali Traditional Folk Performance & Heritage Feast,In Manali: Delight in live classical musical performances accompanied by multi-course regal recipes.,evening
itn_bc458e12,trp_fc64f16e,Srinagar plan v1,1,1,optimizer,1900.00,INR,1065,12.0,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-07T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Srinagar Historic Citadel & Royal Palace Morning Tour,"In Srinagar: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_d904cde6,trp_f996a70f,Aurangabad plan v1,1,1,user,20100.00,INR,1380,12.5,,active,2026-06-11T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Aurangabad Artisan Pottery Workshop & Museum Visit,In Aurangabad: Observe heritage clay craftsmanship and unhurriedly tour curated regional art collections.,afternoon
itn_e052136a,trp_c6136493,Ahmedabad plan v1,1,0,user,22550.00,INR,1470,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-21T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Ahmedabad Bustling Night Bazaar & Budget Food Street,In Ahmedabad: Enjoy mouthwatering local street snacks and soak in vibrant local street energy.,evening
itn_93d128f1,trp_c6136493,Ahmedabad plan v2,2,1,agent,22600.00,INR,1425,12.5,,active,2026-05-11T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Ahmedabad Self-Guided Architectural Walking Trail,"In Ahmedabad: Explore iconic historic facades, public clocktowers, and photogenic heritage gates on foot.",morning
itn_de2e2eca,trp_aaec0d9c,Alleppey plan v1,1,1,ai_planner,8800.00,INR,660,5.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Alleppey Ayurvedic Herbal Therapy & Botanical Walk,In Alleppey: Learn about restorative medicinal herbs followed by traditional warm oil relaxation rituals.,afternoon
itn_4316da01,trp_5162b851,Udaipur plan v1,1,1,optimizer,5600.00,INR,600,6.5,,active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Fateh Sagar Lake Promenade & Street Food,"Sample fresh cold coffee, kulhad chai, and spicy pav bhaji along the lakeside drive.",evening
itn_0c556727,trp_909e59bc,Colombo plan v1,1,0,ai_planner,16007.50,CHF,750,10.1,,active,2026-05-16T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Colombo Self-Guided Architectural Walking Trail,"In Colombo: Explore iconic historic facades, public clocktowers, and photogenic heritage gates on foot.",morning
itn_961c8a9d,trp_909e59bc,Colombo plan v2,2,0,ai_planner,35177.50,CHF,1275,12.5,,active,2026-07-07T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Colombo Public Park Relaxation & City Museum,In Colombo: Admire civic historical collections and picnic amidst manicured public historical gardens.,afternoon
itn_bed66798,trp_909e59bc,Colombo plan v3,3,1,user,30207.50,CHF,840,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Colombo Bustling Night Bazaar & Budget Food Street,In Colombo: Enjoy mouthwatering local street snacks and soak in vibrant local street energy.,evening
itn_d8a4d37f,trp_799607b3,Panaji plan v1,1,1,agent,6800.00,INR,420,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-17T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Panaji Historic Citadel & Royal Palace Morning Tour,"In Panaji: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_a04e7f51,trp_a00e9d0f,Leh plan v1,1,0,optimizer,1952700.00,IDR,1200,13.7,,active,2026-05-12T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Leh River Expedition & Nature Wilderness Trek,"In Leh: Active outdoor excursion exploring gorges, hidden waterfalls, and indigenous wildlife habitats.",afternoon
itn_ad03947b,trp_a00e9d0f,Leh plan v2,2,0,user,1953000.00,IDR,1140,11.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-01T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Leh Campfire Astronomy & Stargazing Session,In Leh: Gather under clear celestial skies for stargazing and stories of regional explorer folklore.,evening
itn_4f5236c5,trp_a00e9d0f,Leh plan v3,3,1,user,1952600.00,IDR,915,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-08T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Leh Sunrise Ridge Hike & Panoramic Viewpoint,In Leh: Venture along scenic hillside trails offering uninhibited dawn views of the surrounding valleys.,morning
itn_270a21cf,trp_55127690,Nainital plan v1,1,0,ai_planner,24400.00,INR,1155,12.5,,active,2026-07-06T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Nainital Old Town Heritage Bazaar & Artisan Lane,"In Nainital: Wander vibrant alleys filled with master craftsmen, traditional weaving, and regional metalware.",afternoon
itn_1b1f34c3,trp_55127690,Nainital plan v2,2,0,ai_planner,24050.00,INR,1050,11.3,,active,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Nainital Traditional Folk Performance & Heritage Feast,In Nainital: Delight in live classical musical performances accompanied by multi-course regal recipes.,evening
itn_941b5b4e,trp_55127690,Nainital plan v3,3,1,agent,22250.00,INR,1290,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-17T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Nainital Historic Citadel & Royal Palace Morning Tour,"In Nainital: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_d7d85507,trp_f272c28c,Darjeeling plan v1,1,1,ai_planner,53075.00,LKR,1515,12.5,,active,2026-06-25T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Darjeeling Ayurvedic Herbal Therapy & Botanical Walk,In Darjeeling: Learn about restorative medicinal herbs followed by traditional warm oil relaxation rituals.,afternoon
itn_b502ac07,trp_06892c8d,Alleppey plan v1,1,0,agent,17300.00,NPR,1185,10.1,,active,2026-06-14T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Alleppey Campfire Astronomy & Stargazing Session,In Alleppey: Gather under clear celestial skies for stargazing and stories of regional explorer folklore.,evening
itn_0c6b7a32,trp_06892c8d,Alleppey plan v2,2,0,agent,13300.00,NPR,825,7.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-01T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Alleppey Sunrise Ridge Hike & Panoramic Viewpoint,In Alleppey: Venture along scenic hillside trails offering uninhibited dawn views of the surrounding valleys.,morning
itn_21ea5a32,trp_06892c8d,Alleppey plan v3,3,1,agent,15150.00,NPR,795,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-05T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Alleppey River Expedition & Nature Wilderness Trek,"In Alleppey: Active outdoor excursion exploring gorges, hidden waterfalls, and indigenous wildlife habitats.",afternoon
itn_3f3ae0ea,trp_2ee981f7,Gokarna plan v1,1,1,ai_planner,14600.00,INR,1395,12.5,,active,2026-05-09T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Gokarna Tranquil Waterfront Sunset & Sound Bath,In Gokarna: Soothing therapeutic singing bowls and herbal teas overlooking shimmering evening waters.,evening
itn_69384096,trp_d04f7574,Pondicherry plan v1,1,1,agent,31700.00,INR,915,12.5,,active,2026-07-04T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Pondicherry Private Chauffeur Landmark & Palace Tour,In Pondicherry: VIP skip-the-line access to private palace wings and exclusive curatorial collections.,morning
itn_06da6ef5,trp_bd724666,Tirupati plan v1,1,0,user,11405.50,MYR,1170,11.3,,active,2026-06-03T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Tirupati Ayurvedic Herbal Therapy & Botanical Walk,In Tirupati: Learn about restorative medicinal herbs followed by traditional warm oil relaxation rituals.,afternoon
itn_8b8a116e,trp_bd724666,Tirupati plan v2,2,0,user,14405.50,MYR,1155,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Tirupati Tranquil Waterfront Sunset & Sound Bath,In Tirupati: Soothing therapeutic singing bowls and herbal teas overlooking shimmering evening waters.,evening
itn_9e82d6d9,trp_bd724666,Tirupati plan v3,3,1,agent,6255.50,MYR,1110,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Tirupati Dawn Meditation & Pranayama in Garden Pavilions,In Tirupati: Begin the day revitalized with guided breathwork and gentle yoga in a peaceful courtyard.,morning
itn_595c4bfc,trp_72f16fa8,Pondicherry plan v1,1,1,user,20350.00,INR,1620,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Pondicherry Public Park Relaxation & City Museum,In Pondicherry: Admire civic historical collections and picnic amidst manicured public historical gardens.,afternoon
itn_aca365ac,trp_a62adcb1,Kolkata plan v1,1,1,ai_planner,1465000.00,IDR,525,5.3,,active,2026-05-22T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Kolkata Exclusive Sunset Cruise & Chef's Degustation,In Kolkata: Private boat charter with champagne sunset toasts and an artisanal seven-course meal.,evening
itn_fb5bce01,trp_46f6a107,Alleppey plan v1,1,1,agent,3002.75,MYR,795,10.1,,active,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Alleppey Dawn Meditation & Pranayama in Garden Pavilions,In Alleppey: Begin the day revitalized with guided breathwork and gentle yoga in a peaceful courtyard.,morning
itn_85057601,trp_0c26fee1,Dubai plan v1,1,1,user,13214.42,INR,900,13.7,,active,2026-05-26T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Dubai Public Park Relaxation & City Museum,In Dubai: Admire civic historical collections and picnic amidst manicured public historical gardens.,afternoon
itn_6f3cef43,trp_71d9ea27,Thiruvananthapuram plan v1,1,1,ai_planner,18700.00,INR,1380,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-24T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Thiruvananthapuram Exclusive Sunset Cruise & Chef's Degustation,In Thiruvananthapuram: Private boat charter with champagne sunset toasts and an artisanal seven-course meal.,evening
itn_ff576370,trp_cc443308,Alleppey plan v1,1,1,ai_planner,8550.00,INR,690,6.5,,active,2026-06-19T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Alleppey Dawn Meditation & Pranayama in Garden Pavilions,In Alleppey: Begin the day revitalized with guided breathwork and gentle yoga in a peaceful courtyard.,morning
itn_493035c5,trp_aad6a7fa,Jodhpur plan v1,1,0,ai_planner,11600.00,INR,645,7.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-20T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Jodhpur Fine Dining Luncheon & Vintage High Tea,In Jodhpur: Sample gourmet fusion gastronomy followed by an opulent afternoon tea service.,afternoon
itn_a4f05dcb,trp_aad6a7fa,Jodhpur plan v2,2,1,user,8800.00,INR,720,7.7,,active,2026-05-13T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Jodhpur Exclusive Sunset Cruise & Chef's Degustation,In Jodhpur: Private boat charter with champagne sunset toasts and an artisanal seven-course meal.,evening
itn_33042417,trp_a9612ee9,Bengaluru plan v1,1,1,ai_planner,25050.00,INR,1350,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-12T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Bengaluru Sunrise Ridge Hike & Panoramic Viewpoint,In Bengaluru: Venture along scenic hillside trails offering uninhibited dawn views of the surrounding valleys.,morning
itn_caa2e651,trp_25a53353,Bangkok plan v1,1,1,ai_planner,19268.20,INR,1065,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-16T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Bangkok River Expedition & Nature Wilderness Trek,"In Bangkok: Active outdoor excursion exploring gorges, hidden waterfalls, and indigenous wildlife habitats.",afternoon
itn_136ed5a8,trp_3c03178d,Nainital plan v1,1,1,user,20050.00,INR,1365,12.5,,active,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Nainital Traditional Folk Performance & Heritage Feast,In Nainital: Delight in live classical musical performances accompanied by multi-course regal recipes.,evening
itn_d8ee86de,trp_ffd35a10,Madurai plan v1,1,1,user,19650.00,INR,1905,13.7,,active,2026-05-14T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Madurai Botanical Gardens & Heritage Tea Stroll,In Madurai: Gentle morning stroll under ancient canopy trees enjoying freshly brewed estate single-origin teas.,morning
itn_539dc7fd,trp_8804c5b5,Madurai plan v1,1,1,ai_planner,3850.00,INR,1440,12.0,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-14T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Madurai Fine Dining Luncheon & Vintage High Tea,In Madurai: Sample gourmet fusion gastronomy followed by an opulent afternoon tea service.,afternoon
itn_649c4686,trp_152be4e1,Gokarna plan v1,1,0,ai_planner,18200.00,INR,1500,12.5,,active,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Gokarna Tranquil Waterfront Sunset & Sound Bath,In Gokarna: Soothing therapeutic singing bowls and herbal teas overlooking shimmering evening waters.,evening
itn_86c9d098,trp_152be4e1,Gokarna plan v2,2,0,ai_planner,17150.00,INR,1320,11.3,,active,2026-06-11T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Gokarna Dawn Meditation & Pranayama in Garden Pavilions,In Gokarna: Begin the day revitalized with guided breathwork and gentle yoga in a peaceful courtyard.,morning
itn_9a9fc11a,trp_152be4e1,Gokarna plan v3,3,1,user,16450.00,INR,1065,11.3,,active,2026-06-16T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Gokarna Ayurvedic Herbal Therapy & Botanical Walk,In Gokarna: Learn about restorative medicinal herbs followed by traditional warm oil relaxation rituals.,afternoon
itn_c08c070b,trp_b8ab5705,Chennai plan v1,1,1,user,5700.00,INR,1020,10.8,,active,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Chennai Tranquil Waterfront Sunset & Sound Bath,In Chennai: Soothing therapeutic singing bowls and herbal teas overlooking shimmering evening waters.,evening
itn_ba104262,trp_2ee78a2e,Shimla plan v1,1,1,user,8250.00,INR,525,8.9,,active,2026-06-03T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Shimla Private Chauffeur Landmark & Palace Tour,In Shimla: VIP skip-the-line access to private palace wings and exclusive curatorial collections.,morning
itn_21432ab8,trp_c4c131cd,Varanasi plan v1,1,1,ai_planner,3791.00,AED,1395,13.7,,active,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Kashi Vishwanath Corridor & Golden Temple,Historic spiritual sanctum dedicated to Lord Shiva with newly restored heritage walkways.,afternoon
itn_e1ab975b,trp_894ef822,Ooty plan v1,1,1,ai_planner,6350.00,INR,915,13.2,,active,2026-07-04T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Ooty Lakeside Promenade Sunset & Classical Sitar,"In Ooty: Unwind as dusk falls with soft breeze, shimmering reflections, and ambient acoustic music.",evening
itn_60fade9a,trp_75c88e52,Alleppey plan v1,1,1,user,12050.00,INR,885,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-26T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Alleppey Historic Citadel & Royal Palace Morning Tour,"In Alleppey: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_85c1ab20,trp_81ba1051,Rishikesh plan v1,1,1,optimizer,22400.00,INR,975,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Rishikesh Ayurvedic Herbal Therapy & Botanical Walk,In Rishikesh: Learn about restorative medicinal herbs followed by traditional warm oil relaxation rituals.,afternoon
itn_107081a7,trp_357dbb6b,Bali plan v1,1,1,ai_planner,105000.00,INR,1020,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Bali Campfire Astronomy & Stargazing Session,In Bali: Gather under clear celestial skies for stargazing and stories of regional explorer folklore.,evening
itn_627dc8a6,trp_49911bd2,Jaipur plan v1,1,1,ai_planner,17200.00,NPR,1320,11.3,,active,2026-07-09T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Jal Mahal & Man Sagar Lakeside Stroll,Picturesque submerged water palace views with artisan block-printing craft workshops.,morning
itn_3a2e5aa3,trp_47cb5f68,Kuala Lumpur plan v1,1,0,ai_planner,12948.42,INR,1080,13.7,,active,2026-05-15T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Kuala Lumpur Old Town Heritage Bazaar & Artisan Lane,"In Kuala Lumpur: Wander vibrant alleys filled with master craftsmen, traditional weaving, and regional metalware.",afternoon
itn_87a5978b,trp_47cb5f68,Kuala Lumpur plan v2,2,0,optimizer,12878.59,INR,1140,13.7,,active,2026-04-26T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Kuala Lumpur Traditional Folk Performance & Heritage Feast,In Kuala Lumpur: Delight in live classical musical performances accompanied by multi-course regal recipes.,evening
itn_c38961d1,trp_47cb5f68,Kuala Lumpur plan v3,3,1,ai_planner,12991.38,INR,1410,12.5,,active,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Kuala Lumpur Historic Citadel & Royal Palace Morning Tour,"In Kuala Lumpur: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_78dad933,trp_cdc63a8d,Pondicherry plan v1,1,1,ai_planner,22000.00,INR,1425,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Pondicherry River Expedition & Nature Wilderness Trek,"In Pondicherry: Active outdoor excursion exploring gorges, hidden waterfalls, and indigenous wildlife habitats.",afternoon
itn_91204091,trp_bfc1339e,Shimla plan v1,1,1,ai_planner,4374.00,MYR,1530,12.5,,active,2026-07-10T10:00:00+05:30,2026-08-18T10:00:00+05:30,1,Shimla Bustling Night Bazaar & Budget Food Street,In Shimla: Enjoy mouthwatering local street snacks and soak in vibrant local street energy.,evening
itn_8f6a72d8,trp_f861423a,Thanjavur plan v1,1,1,user,22050.00,INR,1245,13.7,,active,2026-05-02T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Thanjavur Historic Citadel & Royal Palace Morning Tour,"In Thanjavur: Explore ancient battlements, royal courtyards, and museum galleries preserving centuries of heritage.",morning
itn_8c955314,trp_5764aee3,Panaji plan v1,1,1,user,13300.00,INR,720,10.1,,active,2026-06-25T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Panaji Old Town Heritage Bazaar & Artisan Lane,"In Panaji: Wander vibrant alleys filled with master craftsmen, traditional weaving, and regional metalware.",afternoon
itn_6e2c603f,trp_493ac8fc,Thanjavur plan v1,1,0,ai_planner,13200.00,NPR,885,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-20T10:00:00+05:30,2026-08-18T10:00:00+05:30,2,Thanjavur Lakeside Promenade Sunset & Classical Sitar,"In Thanjavur: Unwind as dusk falls with soft breeze, shimmering reflections, and ambient acoustic music.",evening
itn_ba8c73cf,trp_493ac8fc,Thanjavur plan v2,2,0,user,13550.00,NPR,765,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-01T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Thanjavur Botanical Gardens & Heritage Tea Stroll,In Thanjavur: Gentle morning stroll under ancient canopy trees enjoying freshly brewed estate single-origin teas.,morning
itn_4ce6da77,trp_493ac8fc,Thanjavur plan v3,3,1,ai_planner,18250.00,NPR,465,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-21T10:00:00+05:30,2026-08-18T10:00:00+05:30,3,Thanjavur Artisan Pottery Workshop & Museum Visit,In Thanjavur: Observe heritage clay craftsmanship and unhurriedly tour curated regional art collections.,afternoon
