landmark_id,city_id,name,kind,lat,lng,description
lmk_0030,cty_b43cdd57,Kinari Bazaar Artisan Quarter,bazaar,27.1867,78.0167,"Ancient winding market renowned for marble inlay, leather craft and zari."
lmk_0031,cty_c97e6cd5,Dashashwamedh Main Ghat,heritage,25.3074,83.0104,Vibrant riverfront steps renowned for spectacular evening Ganga Aarti rituals.
lmk_0032,cty_c97e6cd5,Kashi Vishwanath Jyotirlinga Temple,religious,25.3109,83.0107,Revered holy temple complex on the western bank of the sacred Ganges.
lmk_0033,cty_c97e6cd5,Assi Ghat Cultural Plaza,attraction,25.2891,83.0068,Southernmost ghat hosting dawn yoga sessions and morning classical ragas.
lmk_0034,cty_c97e6cd5,Varanasi Junction Cantt Station,transit_hub,25.3283,82.9866,Main transportation lifeline connecting eastern Uttar Pradesh.
lmk_0035,cty_c97e6cd5,Godowlia Market Crossway,bazaar,25.3089,83.0067,"Bustling heart of silk weavers, brassware, and traditional Banarasi street sweets."
lmk_0036,cty_5698a7ab,Lucknow Central Railway Station,transit_hub,26.851781,80.951868,Main intercity transit and rail junction serving Lucknow.
lmk_0037,cty_5698a7ab,Lucknow Old Town Heritage Market,bazaar,26.842878,80.950442,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0038,cty_5698a7ab,Lucknow Botanical Garden & Civic Park,park,26.840335,80.939039,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0039,cty_5698a7ab,Lucknow Central Bus & Metro Terminus,transit_hub,26.854325,80.937613,High-frequency transport exchange connecting the district.
lmk_0040,cty_5698a7ab,Lucknow Riverfront / Lake Promenade,attraction,26.846693,80.960277,Picturesque waterside promenade with panoramic city vistas.
lmk_0041,cty_0b92e2e7,India Gate National Memorial,heritage,28.6129,77.2295,War memorial archway surrounded by sprawling lawns on Kartavya Path.
lmk_0042,cty_0b92e2e7,Connaught Place Heritage Circle,bazaar,28.6327,77.2197,Colonial Georgian-style circular arcade packed with restaurants and shops.
lmk_0043,cty_0b92e2e7,Rajiv Chowk Central Metro Interchange,transit_hub,28.6328,77.2195,Primary underground metro transfer linking Yellow and Blue lines.
lmk_0044,cty_0b92e2e7,New Delhi Railway Station,transit_hub,28.643,77.2194,India's second busiest railway station and Airport Express gateway.
lmk_0045,cty_0b92e2e7,Red Fort (Lal Qila),heritage,28.6562,77.241,Historic fort fortress complex built by Mughal Emperor Shah Jahan in 1638.
lmk_0046,cty_0b92e2e7,Humayun Tomb Garden Complex,heritage,28.5933,77.2507,Splendid red sandstone garden tomb that inspired the Taj Mahal.
lmk_0047,cty_0d062a51,Amritsar Central Railway Station,transit_hub,31.639067,74.878236,Main intercity transit and rail junction serving Amritsar.
lmk_0048,cty_0d062a51,Amritsar Old Town Heritage Market,bazaar,31.630164,74.876742,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0049,cty_0d062a51,Amritsar Botanical Garden & Civic Park,park,31.627621,74.864793,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0050,cty_0d062a51,Amritsar Central Bus & Metro Terminus,transit_hub,31.641611,74.863298,High-frequency transport exchange connecting the district.
lmk_0051,cty_0d062a51,Amritsar Riverfront / Lake Promenade,attraction,31.633979,74.887049,Picturesque waterside promenade with panoramic city vistas.
lmk_0052,cty_32e8e65c,Shimla Central Railway Station,transit_hub,31.109901,77.179015,Main intercity transit and rail junction serving Shimla.
lmk_0053,cty_32e8e65c,Shimla Old Town Heritage Market,bazaar,31.100998,77.177529,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0054,cty_32e8e65c,Shimla Botanical Garden & Civic Park,park,31.098455,77.165647,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0055,cty_32e8e65c,Shimla Central Bus & Metro Terminus,transit_hub,31.112445,77.16416,High-frequency transport exchange connecting the district.
lmk_0056,cty_32e8e65c,Shimla Riverfront / Lake Promenade,attraction,31.104813,77.187778,Picturesque waterside promenade with panoramic city vistas.
lmk_0057,cty_9327d518,Manali Central Railway Station,transit_hub,32.244424,77.194722,Main intercity transit and rail junction serving Manali.
lmk_0058,cty_9327d518,Manali Old Town Heritage Market,bazaar,32.235521,77.193218,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0059,cty_9327d518,Manali Botanical Garden & Civic Park,park,32.232978,77.181189,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0060,cty_9327d518,Manali Central Bus & Metro Terminus,transit_hub,32.246968,77.179684,High-frequency transport exchange connecting the district.
lmk_0061,cty_9327d518,Manali Riverfront / Lake Promenade,attraction,32.239336,77.203592,Picturesque waterside promenade with panoramic city vistas.
lmk_0062,cty_d35a9652,Rishikesh Central Railway Station,transit_hub,30.091757,78.2731,Main intercity transit and rail junction serving Rishikesh.
lmk_0063,cty_d35a9652,Rishikesh Old Town Heritage Market,bazaar,30.082854,78.271629,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0064,cty_d35a9652,Rishikesh Botanical Garden & Civic Park,park,30.080311,78.259871,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0065,cty_d35a9652,Rishikesh Central Bus & Metro Terminus,transit_hub,30.094301,78.2584,High-frequency transport exchange connecting the district.
lmk_0066,cty_d35a9652,Rishikesh Riverfront / Lake Promenade,attraction,30.086669,78.281771,Picturesque waterside promenade with panoramic city vistas.
lmk_0067,cty_0d9ab6ff,Nainital Central Railway Station,transit_hub,29.385087,79.469239,Main intercity transit and rail junction serving Nainital.
lmk_0068,cty_0d9ab6ff,Nainital Old Town Heritage Market,bazaar,29.376184,79.467778,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0069,cty_0d9ab6ff,Nainital Botanical Garden & Civic Park,park,29.373641,79.456103,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0070,cty_0d9ab6ff,Nainital Central Bus & Metro Terminus,transit_hub,29.387631,79.454642,High-frequency transport exchange connecting the district.
lmk_0071,cty_0d9ab6ff,Nainital Riverfront / Lake Promenade,attraction,29.379999,79.477849,Picturesque waterside promenade with panoramic city vistas.
lmk_0072,cty_aa759717,Leh Central Railway Station,transit_hub,34.157675,77.583197,Main intercity transit and rail junction serving Leh.
lmk_0073,cty_aa759717,Leh Old Town Heritage Market,bazaar,34.148772,77.581659,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0074,cty_aa759717,Leh Botanical Garden & Civic Park,park,34.146229,77.569365,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0075,cty_aa759717,Leh Central Bus & Metro Terminus,transit_hub,34.160219,77.567827,High-frequency transport exchange connecting the district.
lmk_0076,cty_aa759717,Leh Riverfront / Lake Promenade,attraction,34.152587,77.592263,Picturesque waterside promenade with panoramic city vistas.
lmk_0077,cty_828a7777,Srinagar Central Railway Station,transit_hub,34.088743,74.803514,Main intercity transit and rail junction serving Srinagar.
lmk_0078,cty_828a7777,Srinagar Old Town Heritage Market,bazaar,34.07984,74.801978,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0079,cty_828a7777,Srinagar Botanical Garden & Civic Park,park,34.077297,74.789693,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0080,cty_828a7777,Srinagar Central Bus & Metro Terminus,transit_hub,34.091287,74.788156,High-frequency transport exchange connecting the district.
lmk_0081,cty_828a7777,Srinagar Riverfront / Lake Promenade,attraction,34.083655,74.812573,Picturesque waterside promenade with panoramic city vistas.
lmk_0082,cty_95e7c8ca,Gateway of India,heritage,18.922,72.8347,20th-century arch monument overlooking the Arabian Sea in Apollo Bunder.
lmk_0083,cty_95e7c8ca,Marine Drive Queen's Necklace,attraction,18.9432,72.823,3-kilometer seaside promenade offering sunset vistas along Back Bay.
lmk_0084,cty_95e7c8ca,Chhatrapati Shivaji Maharaj Terminus (CSMT),transit_hub,18.94,72.8353,UNESCO World Heritage Victorian Gothic railway headquarters.
lmk_0085,cty_95e7c8ca,Colaba Causeway Bohemian Market,bazaar,18.9189,72.83,"Vibrant street market filled with antique curios, books, and fashion stalls."
lmk_0086,cty_95e7c8ca,Churchgate Western Railway Terminus,transit_hub,18.9322,72.8264,Fast suburban railway transit linking South Mumbai to northern suburbs.
lmk_0087,cty_621f4a84,Pune Central Railway Station,transit_hub,18.525517,73.862109,Main intercity transit and rail junction serving Pune.
lmk_0088,cty_621f4a84,Pune Old Town Heritage Market,bazaar,18.516614,73.860768,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0089,cty_621f4a84,Pune Botanical Garden & Civic Park,park,18.514071,73.850038,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0090,cty_621f4a84,Pune Central Bus & Metro Terminus,transit_hub,18.528061,73.848696,High-frequency transport exchange connecting the district.
lmk_0091,cty_621f4a84,Pune Riverfront / Lake Promenade,attraction,18.52043,73.870022,Picturesque waterside promenade with panoramic city vistas.
lmk_0092,cty_f29656ff,Aurangabad Central Railway Station,transit_hub,19.881252,75.348724,Main intercity transit and rail junction serving Aurangabad.
lmk_0093,cty_f29656ff,Aurangabad Old Town Heritage Market,bazaar,19.872349,75.347371,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0094,cty_f29656ff,Aurangabad Botanical Garden & Civic Park,park,19.869806,75.336552,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0095,cty_f29656ff,Aurangabad Central Bus & Metro Terminus,transit_hub,19.883796,75.335199,High-frequency transport exchange connecting the district.
lmk_0096,cty_f29656ff,Aurangabad Riverfront / Lake Promenade,attraction,19.876164,75.356702,Picturesque waterside promenade with panoramic city vistas.
lmk_0097,cty_cfec17b6,Ahmedabad Central Railway Station,transit_hub,23.027592,72.57689,Main intercity transit and rail junction serving Ahmedabad.
lmk_0098,cty_cfec17b6,Ahmedabad Old Town Heritage Market,bazaar,23.018689,72.575508,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0099,cty_cfec17b6,Ahmedabad Botanical Garden & Civic Park,park,23.016146,72.564453,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0100,cty_cfec17b6,Ahmedabad Central Bus & Metro Terminus,transit_hub,23.030136,72.56307,High-frequency transport exchange connecting the district.
lmk_0101,cty_cfec17b6,Ahmedabad Riverfront / Lake Promenade,attraction,23.022504,72.585042,Picturesque waterside promenade with panoramic city vistas.
lmk_0102,cty_caf3c1ee,Bhuj Central Railway Station,transit_hub,23.247078,69.672468,Main intercity transit and rail junction serving Bhuj.
lmk_0103,cty_caf3c1ee,Bhuj Old Town Heritage Market,bazaar,23.238175,69.671083,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0104,cty_caf3c1ee,Bhuj Botanical Garden & Civic Park,park,23.235632,69.660011,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0105,cty_caf3c1ee,Bhuj Central Bus & Metro Terminus,transit_hub,23.249622,69.658626,High-frequency transport exchange connecting the district.
lmk_0106,cty_caf3c1ee,Bhuj Riverfront / Lake Promenade,attraction,23.24199,69.680634,Picturesque waterside promenade with panoramic city vistas.
lmk_0107,cty_43d0a650,Our Lady of the Immaculate Conception Church,heritage,15.4989,73.829,Baroque church with zigzag stairs overlooking Church Square.
lmk_0108,cty_43d0a650,Fontainhas Latin Quarter,heritage,15.4947,73.8322,Charming heritage quarter with narrow cobblestone streets and Portuguese villas.
lmk_0109,cty_43d0a650,Miramar Beach Promenade,attraction,15.4833,73.8055,Palm-fringed beach promenade where Mandovi River meets the Arabian Sea.
lmk_0110,cty_43d0a650,KTC Panaji Central Bus Stand,transit_hub,15.4982,73.8375,Main intercity transport terminus connecting North and South Goa.
lmk_0111,cty_43d0a650,Mandovi Ferry & Cruise Jetty,transit_hub,15.4998,73.8306,River jetty offering local commuter ferry crossings and sunset cruises.
lmk_0112,cty_17b8ef2f,Cubbon Park Botanical Garden,park,12.9763,77.5929,300-acre green lung in the city centre with historic neo-classical buildings.
lmk_0113,cty_17b8ef2f,MG Road Metro Station,transit_hub,12.9756,77.6066,Purple Line metro station at the commercial and cultural heart.
lmk_0114,cty_17b8ef2f,Bangalore Palace & Grounds,heritage,12.9988,77.5921,Tudor-revival royal palace featuring fortified towers and stained glass.
lmk_0115,cty_17b8ef2f,Lalbagh Botanical Gardens,park,12.9507,77.5848,Historic 240-acre garden home to a famous glass house modelled on Crystal Palace.
lmk_0116,cty_17b8ef2f,KSR Bengaluru City Railway Station,transit_hub,12.9781,77.5694,Main rail terminal for intercity and high-speed express trains.
lmk_0117,cty_8fc1539e,Mysuru Central Railway Station,transit_hub,12.300897,76.644588,Main intercity transit and rail junction serving Mysuru.
lmk_0118,cty_8fc1539e,Mysuru Old Town Heritage Market,bazaar,12.291994,76.643286,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0119,cty_8fc1539e,Mysuru Botanical Garden & Civic Park,park,12.289451,76.632873,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0120,cty_8fc1539e,Mysuru Central Bus & Metro Terminus,transit_hub,12.303441,76.631571,High-frequency transport exchange connecting the district.
lmk_0121,cty_8fc1539e,Mysuru Riverfront / Lake Promenade,attraction,12.29581,76.652267,Picturesque waterside promenade with panoramic city vistas.
lmk_0122,cty_bbb31d67,Hampi Central Railway Station,transit_hub,15.340137,76.465335,Main intercity transit and rail junction serving Hampi.
lmk_0123,cty_bbb31d67,Hampi Old Town Heritage Market,bazaar,15.331234,76.464016,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0124,cty_bbb31d67,Hampi Botanical Garden & Civic Park,park,15.328691,76.453466,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0125,cty_bbb31d67,Hampi Central Bus & Metro Terminus,transit_hub,15.342681,76.452147,High-frequency transport exchange connecting the district.
lmk_0126,cty_bbb31d67,Hampi Riverfront / Lake Promenade,attraction,15.33505,76.473115,Picturesque waterside promenade with panoramic city vistas.
lmk_0127,cty_a97c33ad,Gokarna Central Railway Station,transit_hub,14.554987,74.322456,Main intercity transit and rail junction serving Gokarna.
lmk_0128,cty_a97c33ad,Gokarna Old Town Heritage Market,bazaar,14.546084,74.321142,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0129,cty_a97c33ad,Gokarna Botanical Garden & Civic Park,park,14.543541,74.31063,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0130,cty_a97c33ad,Gokarna Central Bus & Metro Terminus,transit_hub,14.557531,74.309316,High-frequency transport exchange connecting the district.
lmk_0131,cty_a97c33ad,Gokarna Riverfront / Lake Promenade,attraction,14.5499,74.330208,Picturesque waterside promenade with panoramic city vistas.
lmk_0132,cty_f8b75f8e,Chennai Central Railway Station,transit_hub,13.087767,80.275941,Main intercity transit and rail junction serving Chennai.
lmk_0133,cty_f8b75f8e,Chennai Old Town Heritage Market,bazaar,13.078864,80.274635,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0134,cty_f8b75f8e,Chennai Botanical Garden & Civic Park,park,13.076321,80.26419,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0135,cty_f8b75f8e,Chennai Central Bus & Metro Terminus,transit_hub,13.090311,80.262883,High-frequency transport exchange connecting the district.
lmk_0136,cty_f8b75f8e,Chennai Riverfront / Lake Promenade,attraction,13.08268,80.283644,Picturesque waterside promenade with panoramic city vistas.
lmk_0137,cty_3503e391,Madurai Central Railway Station,transit_hub,9.930288,78.12494,Main intercity transit and rail junction serving Madurai.
lmk_0138,cty_3503e391,Madurai Old Town Heritage Market,bazaar,9.921385,78.123648,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0139,cty_3503e391,Madurai Botanical Garden & Civic Park,park,9.918842,78.113319,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0140,cty_3503e391,Madurai Central Bus & Metro Terminus,transit_hub,9.932832,78.112028,High-frequency transport exchange connecting the district.
lmk_0141,cty_3503e391,Madurai Riverfront / Lake Promenade,attraction,9.925201,78.132557,Picturesque waterside promenade with panoramic city vistas.
lmk_0142,cty_7fc82336,Ooty Central Railway Station,transit_hub,11.415697,76.700197,Main intercity transit and rail junction serving Ooty.
lmk_0143,cty_7fc82336,Ooty Old Town Heritage Market,bazaar,11.406794,76.698899,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0144,cty_7fc82336,Ooty Botanical Garden & Civic Park,park,11.404251,76.68852,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0145,cty_7fc82336,Ooty Central Bus & Metro Terminus,transit_hub,11.418241,76.687222,High-frequency transport exchange connecting the district.
lmk_0146,cty_7fc82336,Ooty Riverfront / Lake Promenade,attraction,11.41061,76.707851,Picturesque waterside promenade with panoramic city vistas.
lmk_0147,cty_f288c6a0,Pondicherry Central Railway Station,transit_hub,11.921506,79.817754,Main intercity transit and rail junction serving Pondicherry.
lmk_0148,cty_f288c6a0,Pondicherry Old Town Heritage Market,bazaar,11.912603,79.816454,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0149,cty_f288c6a0,Pondicherry Botanical Garden & Civic Park,park,11.91006,79.806056,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0150,cty_f288c6a0,Pondicherry Central Bus & Metro Terminus,transit_hub,11.92405,79.804756,High-frequency transport exchange connecting the district.
lmk_0151,cty_f288c6a0,Pondicherry Riverfront / Lake Promenade,attraction,11.916419,79.825423,Picturesque waterside promenade with panoramic city vistas.
lmk_0152,cty_7f673457,Thanjavur Central Railway Station,transit_hub,10.792085,79.143006,Main intercity transit and rail junction serving Thanjavur.
lmk_0153,cty_7f673457,Thanjavur Old Town Heritage Market,bazaar,10.783182,79.141711,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0154,cty_7f673457,Thanjavur Botanical Garden & Civic Park,park,10.780639,79.131354,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0155,cty_7f673457,Thanjavur Central Bus & Metro Terminus,transit_hub,10.794629,79.130059,High-frequency transport exchange connecting the district.
lmk_0156,cty_7f673457,Thanjavur Riverfront / Lake Promenade,attraction,10.786998,79.150644,Picturesque waterside promenade with panoramic city vistas.
lmk_0157,cty_8b6b1652,Kochi Central Railway Station,transit_hub,9.93632,76.272468,Main intercity transit and rail junction serving Kochi.
lmk_0158,cty_8b6b1652,Kochi Old Town Heritage Market,bazaar,9.927417,76.271176,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0159,cty_8b6b1652,Kochi Botanical Garden & Civic Park,park,9.924874,76.260847,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0160,cty_8b6b1652,Kochi Central Bus & Metro Terminus,transit_hub,9.938864,76.259556,High-frequency transport exchange connecting the district.
lmk_0161,cty_8b6b1652,Kochi Riverfront / Lake Promenade,attraction,9.931233,76.280085,Picturesque waterside promenade with panoramic city vistas.
lmk_0162,cty_34bbfdfe,Alleppey Central Railway Station,transit_hub,9.503154,76.344002,Main intercity transit and rail junction serving Alleppey.
lmk_0163,cty_34bbfdfe,Alleppey Old Town Heritage Market,bazaar,9.494251,76.342712,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0164,cty_34bbfdfe,Alleppey Botanical Garden & Civic Park,park,9.491708,76.332397,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0165,cty_34bbfdfe,Alleppey Central Bus & Metro Terminus,transit_hub,9.505698,76.331107,High-frequency transport exchange connecting the district.
lmk_0166,cty_34bbfdfe,Alleppey Riverfront / Lake Promenade,attraction,9.498067,76.35161,Picturesque waterside promenade with panoramic city vistas.
lmk_0167,cty_d401ef6b,Munnar Central Railway Station,transit_hub,10.094247,77.064737,Main intercity transit and rail junction serving Munnar.
lmk_0168,cty_d401ef6b,Munnar Old Town Heritage Market,bazaar,10.085344,77.063445,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0169,cty_d401ef6b,Munnar Botanical Garden & Civic Park,park,10.082801,77.053111,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0170,cty_d401ef6b,Munnar Central Bus & Metro Terminus,transit_hub,10.096791,77.051819,High-frequency transport exchange connecting the district.
lmk_0171,cty_d401ef6b,Munnar Riverfront / Lake Promenade,attraction,10.08916,77.072358,Picturesque waterside promenade with panoramic city vistas.
lmk_0172,cty_67ee7f6f,Thiruvananthapuram Central Railway Station,transit_hub,8.529226,76.941782,Main intercity transit and rail junction serving Thiruvananthapuram.
lmk_0173,cty_67ee7f6f,Thiruvananthapuram Old Town Heritage Market,bazaar,8.520323,76.940496,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0174,cty_67ee7f6f,Thiruvananthapuram Botanical Garden & Civic Park,park,8.51778,76.930208,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0175,cty_67ee7f6f,Thiruvananthapuram Central Bus & Metro Terminus,transit_hub,8.53177,76.928922,High-frequency transport exchange connecting the district.
lmk_0176,cty_67ee7f6f,Thiruvananthapuram Riverfront / Lake Promenade,attraction,8.524139,76.949369,Picturesque waterside promenade with panoramic city vistas.
lmk_0177,cty_541018a9,Wayanad Central Railway Station,transit_hub,11.690467,76.137095,Main intercity transit and rail junction serving Wayanad.
lmk_0178,cty_541018a9,Wayanad Old Town Heritage Market,bazaar,11.681564,76.135796,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0179,cty_541018a9,Wayanad Botanical Garden & Civic Park,park,11.679021,76.125406,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0180,cty_541018a9,Wayanad Central Bus & Metro Terminus,transit_hub,11.693011,76.124107,High-frequency transport exchange connecting the district.
lmk_0181,cty_541018a9,Wayanad Riverfront / Lake Promenade,attraction,11.68538,76.144757,Picturesque waterside promenade with panoramic city vistas.
lmk_0182,cty_718f03c7,Hyderabad Central Railway Station,transit_hub,17.390131,78.492002,Main intercity transit and rail junction serving Hyderabad.
lmk_0183,cty_718f03c7,Hyderabad Old Town Heritage Market,bazaar,17.381228,78.490669,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0184,cty_718f03c7,Hyderabad Botanical Garden & Civic Park,park,17.378685,78.480008,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0185,cty_718f03c7,Hyderabad Central Bus & Metro Terminus,transit_hub,17.392675,78.478674,High-frequency transport exchange connecting the district.
lmk_0186,cty_718f03c7,Hyderabad Riverfront / Lake Promenade,attraction,17.385044,78.499864,Picturesque waterside promenade with panoramic city vistas.
lmk_0187,cty_7cb0b529,Visakhapatnam Central Railway Station,transit_hub,17.691903,83.223822,Main intercity transit and rail junction serving Visakhapatnam.
lmk_0188,cty_7cb0b529,Visakhapatnam Old Town Heritage Market,bazaar,17.683,83.222487,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0189,cty_7cb0b529,Visakhapatnam Botanical Garden & Civic Park,park,17.680457,83.211808,Lush urban green space featuring tranquil walking trails and pavilions.
lmk_0190,cty_7cb0b529,Visakhapatnam Central Bus & Metro Terminus,transit_hub,17.694447,83.210472,High-frequency transport exchange connecting the district.
lmk_0191,cty_7cb0b529,Visakhapatnam Riverfront / Lake Promenade,attraction,17.686816,83.231697,Picturesque waterside promenade with panoramic city vistas.
lmk_0192,cty_d4f5e3a5,Tirupati Central Railway Station,transit_hub,13.633787,79.424435,Main intercity transit and rail junction serving Tirupati.
lmk_0193,cty_d4f5e3a5,Tirupati Old Town Heritage Market,bazaar,13.624884,79.423126,Vibrant historic bazaar specializing in regional handicrafts and local spices.
lmk_0194,cty_d4f5e3a5,Tirupati Botanical Garden & Civic Park,park,13.622341,79.412657,Lush urban green space featuring tranquil walking trails and pavilions.
